client;country_code;company_type;commission_type;client_commission
ARGEN_BTC;AR;RECHARGE;revenue_share;0.56
ASTROPAY;AR;RECHARGE;revenue_share;0.28
ATLAS;AR;RECHARGE;revenue_share;0.56
BELO;AR;RECHARGE;revenue_share;0.49
CRESIUM;AR;RECHARGE;revenue_share;0.42
FIWIND;AR;RECHARGE;revenue_share;0.35
LEMON;AR;RECHARGE;revenue_share;0.53
PREX;AR;RECHARGE;revenue_share;0.60
TRADERPAL;AR;RECHARGE;revenue_share;0.49
UTOPPIA;AR;RECHARGE;revenue_share;0.02
Ualá;AR;RECHARGE;revenue_share;0.56
WIBOND;AR;RECHARGE;revenue_share;0.47
ASTROPAY;CL;RECHARGE;revenue_share;0.28
PROPCHECK;CL;RECHARGE;revenue_share;0.49
ASTROPAY;CO;RECHARGE;revenue_share;0.28
Meru;CO;RECHARGE;revenue_share;0.00
NUBANK;CO;RECHARGE;revenue_share;0.40
PAYANA;CO;RECHARGE;revenue_share;0.00
STABLE;CO;RECHARGE;revenue_share;0.40
Ualá;CO;RECHARGE;revenue_share;0.55
ASTROPAY;MX;RECHARGE;revenue_share;0.28
BANCOPPEL;MX;RECHARGE;revenue_share;0.55
BROXEL;MX;RECHARGE;revenue_share;0.53
LIVERPOOL;MX;RECHARGE;revenue_share;0.40
NUBANK;MX;RECHARGE;revenue_share;0.56
STORI;MX;RECHARGE;revenue_share;0.30
TRADERPAL;MX;RECHARGE;revenue_share;0.49
UTOPPIA;MX;RECHARGE;revenue_share;0.49
ASTROPAY;PE;RECHARGE;revenue_share;0.28
LIGO;PE;RECHARGE;revenue_share;0.55
PREX;PE;RECHARGE;revenue_share;0.14
